movie_id,movie_cname,movie_year,movie_vote,movie_score,info_link,category,country,comment,evaluation,actors,director,movieWatched,movieWanttw,movieSummary
4603382,兰迪·波许教授的最后一课,2007-11-09,9968,9.5,https:\/\/movie.douban.com\/subject\/4603382\/,纪录片,美国,2726,9968,兰迪·波许 ,x,14466,27619,兰迪·弗雷德里克·波许（Randy Frederick Pausch）是美国卡内基梅隆大学的计算机科学、人机交互及设计教授。2006年9月，他被诊断患有胰腺癌。尽管进行了手术和化疗，他还是于2007年8月被告知癌细胞已经转移至肝臟及脾脏，至多可以再存活3到6个月。
35470753,1950他们正年轻,2021-09-03,39094,8.9,https:\/\/movie.douban.com\/subject\/35470753\/,纪录片,中国大陆,16874,39094,任红举 周有春 马世勋 周继成 薛英杰 汤重稀 包月禄 王贯三 郭瑞铮 雍卫太 李维波 王仁山 谈学贤 叶发坤 孙德山 唐章洪 那启明 林炳远 金东辉 刘素谦 熊朝瑞 白清林 易如元 周全弟 尹志云 叶士礼 ,宋坤儒 ,46548,54642,2014年，首批437具中国志愿军烈士遗骸归国，离开祖国60多年的烈士英灵终于得以回家。71年前，那些花一样年轻的战士走上了抗美援朝战场，有些人回来了，而有些人永远地留在了那片土地上。《1950他们正年轻》用全新的视角聚焦71年前参加抗美援朝的普通年轻人，通过不同军种，不同时期参战的老兵真人讲述，以一句句平实细微的话语呈现出他们曾经热血的青春与梦想，也还原了最真实的战场，给当代的年轻人带来触动内心的震撼与共鸣。最好的铭记是不遗忘，《1950他们正年轻》用镜头记录珍贵的民族记忆，一起致敬那些保家卫国的英雄们。
4836985,我们都为比尔着盛装,2011-03-16,16877,9.2,https:\/\/movie.douban.com\/subject\/4836985\/,"纪录片,传记","美国,法国",7009,16877,比尔·坎宁安 安娜·温图尔 迈克·高仕 艾瑞斯·阿普瑞尔 凯瑟琳·德纳芙 Arthur Sulzberger 卡门·戴尔·奥利菲斯 Mrs. Vincent Astor ,理查德·普莱斯 ,21179,41557,这是一部关于街拍鼻祖比尔·坎宁安（Bill Cunningham）的纪录片。已入耄耋之年的比尔依然是纽约时报的一名摄影师，拥有自己的板面专栏“On the Street”以及“Evening Hours”。他从六十年代起便一直沉迷街拍，并享受工作。在比尔的镜头下，不管你是上流名人、普通工人甚至是下城居民，只要你着装出位有个性，比尔都乐于捕捉你的美。几乎所有的时尚界人士都认识并尊重这位摄影顽童，就连著名时尚杂志Vogue的女主编安娜·温图尔（Anna Wintour）也说：“我们都为比尔着盛装。”然而，这样一位几乎把一生都献给了时尚且功不可没的老人，依然住在狭小工作室里，每天骑着自行车上街拍照，不过老人家却觉得这样最好，对他来说，拍照以外的任何事都无关紧要，能够自由地捕捉新鲜，才是他的追求。
1778460,人生七年5,1991-09-08,11147,9.4,https:\/\/movie.douban.com\/subject\/1778460\/,"传记,纪录片",英国,2253,11147,迈克尔·艾普特 ,迈克尔·艾普特 ,21606,12104,本部纪录片是导演迈克尔·艾普特从1964年开始拍摄的纪录片系列的第五部。迈克尔·艾普特在1964年为英国BBC电视台拍摄了记录片《7 Up》，采访来自英国不同阶层的十四个七岁的小孩子，他们有的来自孤儿院有的是上层社会的小孩。此后每隔七年，艾普特都会重新采访当年的这些孩子，倾听他们的梦想，畅谈他们的生活。这时他们都已经是35岁的中年人，成家立业。艾普特再次追踪他们的生活，记录他们的事业是否成功，爱情是否美满。七年，岁月的痕迹已悄然爬上每一个人的面庞。
35024535,摩登家庭：摩登式告别,2020-04-08,7366,9.7,https:\/\/movie.douban.com\/subject\/35024535\/,"纪录片,同性",美国,2401,7366,索菲娅·维加拉 艾德·奥尼尔 泰·布利尔 朱丽·鲍温 艾瑞克·斯通斯崔特 杰西·泰勒·弗格森 阿芮尔·温特 里克·罗德里格兹 奥布里·安德森-埃蒙斯 诺兰·古德 萨拉·海蓝德 里德·尤因 ,克里斯托弗·威尔恰 ,10224,7886,《摩登告别》是一部长达一个小时的纪录片，回顾了《摩登家庭》11年来的发展历程，从剧本创作、选角、试播到大结局的解读，无一不在其中。这部纪录片通过对演职人员的独家专访，回顾了《摩登家庭》的起源故事，回顾了这部影响深远、深受观众喜爱的剧集取得的空前成功，并重温了许多感人至深的搞笑瞬间。
27191492,四个春天,2019-01-04,164818,8.8,https:\/\/movie.douban.com\/subject\/27191492\/,"纪录片,家庭",中国大陆,67728,164818,陆运坤 李桂贤 陆庆伟 陆庆松 陆庆屹 ,陆庆屹 ,252005,275883,《四个春天》是一部以真实家庭生活为背景的纪录片。15岁离家，在异乡漂泊多年的导演以自己南方小城里的父母为主角，在四年光阴里，以一己之力记录了他们的美丽日常。在如诗的乐活慢生活图景中，影像缓缓雕刻出一个幸福家庭近二十年的温柔变迁，以及他们如何以自己的方式面对流转的时间、人生的得失起落。
30423539,阿涅斯论瓦尔达,2019-02-13,15335,9.2,https:\/\/movie.douban.com\/subject\/30423539\/,纪录片,法国,6990,15336,阿涅斯·瓦尔达 桑德里娜·博内尔 Nurit Aviv ,阿涅斯·瓦尔达 ,24125,54979,当不少人以为《脸庞，村庄》（2018）是华妲退休前最后杰作，她连奥斯卡终身成就奖亦袋袋平安，偏偏俏皮一笑，又交出这部活泼生猛的纪录片。由巴黎、洛杉矶到北京，马不停蹄开班分享创作理念，这位九十岁祖师奶奶不言倦，反正花样年华已被唤作「法国新浪潮祖母」，索性成为影坛万年青。 本尊娓娓道来启发《短角情事》（38 届）的好奇心，《拾穗者与我》（25 届）的细腻观察；至今不辍光影实验，不吝将艺术触觉传承。是为一生回顾展？言之尚早！
30167509,徒手攀岩,2019-09-06,161902,8.8,https:\/\/movie.douban.com\/subject\/30167509\/,纪录片,美国,59503,161902,亚历克斯·霍诺德 汤米·考德威尔 金国威 米奇·谢弗 萨妮·麦坎德斯 迪尔德丽·沃尼克 彼得·克罗夫特 丹·奥斯曼 ,伊丽莎白·柴·瓦沙瑞莉 金国威 ,232626,133422,亚历克斯·霍诺德从2009年就梦想着徒手攀登酋长岩，此后尝试了1000多次，而徒手攀登酋长岩是自己的 “终极目标”。为此，他准备了一年半的时间，借助绳索攀爬过近60次酋长岩。他表示，自己这样做并非为了进行预演，而是反复尝试不同的岩点，研究攻克最难的区域。纪录片拍下了约塞米蒂国家公园及酋长岩的壮丽景色及霍诺德登顶的历史时刻。除此之外，片中还回顾了他怎样处理极限目标带来的生命风险，以及他如何追求卓越完美，从而在无绳索保护的情况下保证万无一失。
30391726,蜂蜜之地,2019-01-28,26677,9,https:\/\/movie.douban.com\/subject\/30391726\/,"剧情,纪录片",北马其顿,10625,26677,哈蒂兹·穆拉托娃 纳齐夫·穆拉托娃 侯赛因·萨姆 柳特维·萨姆 ,塔玛拉·科特夫斯卡 卢博·斯特法诺夫 ,37756,59586,鲜黄衣袂点缀马其顿偏乡的荒芜，与悬崖上野生蜂蜜琼浆的金黄相辉映。喀迪丝是欧洲大地最后一位女采蜂人，与抱病半盲母亲相依为命，依附野蜂为生，坚守「取一半、留一半」黄金定律。游牧民族一家突然欺至，打破宁静生活的不止是七个孩子与一众牲畜的喧闹，还有疯狂掏尽蜂蜜的贪婪，以及破坏生态环境的肆无忌惮。历时三年静观人与蜂和谐共处的隐世生活，以自然曦光与幽微烛照辉映大地，美得教人肃然起敬。获辛丹斯电影节世界纪录片评审团大奖。
19955871,车轮不息,2012,10536,9.1,https:\/\/movie.douban.com\/subject\/19955871\/,"剧情,纪录片,冒险,运动","美国,中国大陆,加拿大,尼泊尔,阿根廷",4029,10536,x,x,13699,16330,2012年9月19日，全世界数一数二的自行车展INTER BIKE在美国的拉斯维加斯开幕。而一场酝酿已久的风暴在拉斯维加斯著名酒店The Palms Hotel附属的The Pearl Theatre影院爆发。在这个全世界山地车车迷的盛大日子，堪称自行车电影史上最大投资的电影《Where the trail ends》在这里举办了首映礼！
27101775,共犯者们,2017-08-17,12036,9.3,https:\/\/movie.douban.com\/subject\/27101775\/,纪录片,韩国,4942,12036,崔承浩 朴槿惠 李明博 卢武铉 ,崔承浩 ,16670,38138,韩国纪录片电影，该纪录片将矛头瞄准韩国前总统李明博，前放送文化振兴会理事长金寓龙、前MBC电视台社长金在哲、前MBC电视台电视剧部门部长张根洙等李明博政府时期官员们也在影片中登场，讲述了李明博政府时期，官官相护、官商勾结，并利用KBS、MBC等电视台操纵舆论，欺骗大众的行为。
30479900,我真正的天才女友,2018-12-06,14577,9.2,https:\/\/movie.douban.com\/subject\/30479900\/,纪录片,意大利,5327,14577,盖娅·吉拉切 玛格丽塔·马祖可 伊利莎·德尔·吉尼欧 卢多维卡·纳斯提 安娜·雷迪 ,克拉丽莎·卡佩拉 ,22605,34950,《我的天才女友》衍生幕后纪录片，提供了详实的独家拍摄花絮，以及剧版完整的诞生流程。
3920977,就是这样,2009-10-28,92082,8.8,https:\/\/movie.douban.com\/subject\/3920977\/,"纪录片,音乐",美国,20789,92082,迈克尔·杰克逊 奥里安斯 肯尼·奥特加 Charles Klapow 梅姬娅·考克斯 泰恩丝泰克莱因 Darryl Phinnessee 格雷迪·霍德尔 德蕾娅·韦伯 米沙·加布里埃尔·汉密尔顿 杰克·多内尔 布列塔尼·派丽-拉塞尔 ,肯尼·奥特加 ,132728,54026,2009年6月25日，这可以说是全球音乐界的巨大损失。迈克尔·杰克逊（迈克尔·杰克逊 Michael Jackson 饰），全球瞩目的流行音乐巨星在这一天就此陨落。原本，计划在2009年夏天举行的名为“This is it”告别演唱会，也无法如期与歌迷们见面。不过，在此之前迈克尔•杰克逊为了此次的演唱会，进行了大量的彩排工作，并亲力亲为的为选曲、编排、舞蹈、灯光等多个环节把关。整个过程，都被详实的记录了下来。没有了现场的演唱会，导演肯尼•奥特加就利用这些排练片段搭配上天王的传世名曲，为全球的乐迷们在大银幕上呈现出了一场完全不一样的演唱会。
1761172,幼儿园,2004,46707,8.8,https:\/\/movie.douban.com\/subject\/1761172\/,纪录片,中国大陆,12976,46707,x,张以庆 ,63716,41273,湖北武汉一家全托制寄宿幼儿园，一群天真无邪的可爱孩子在镜头前展现他们最真实的一面。他们会为了对父母的依恋而大声哭闹、会为了和小朋友偶然的争执大打出手、会为了穿不上衣服以及摆不好椅子而脾气大发、也会为了星期四和星期五的先后顺序讨论不休。孩子的心中没有对错，就如同一张等待书写的白纸却又不可避免地被强加了许多来自大人的既定价值观。孩子无所顾忌的言语，似乎也折射出一些不难捉摸的意味……
26334993,科比的缪斯,2015-02-21,13595,9.2,https:\/\/movie.douban.com\/subject\/26334993\/,"传记,纪录片,运动",美国,4543,13595,科比·布莱恩特 凡妮莎·莱茵·布莱恩特 迈克尔·乔丹 沙奎尔·奥尼尔 凯文·加内特 卡里姆·阿卜杜尔-贾巴尔 拉里·伯德 德里克·费舍尔 Chick Hearn 丹尼斯·约翰逊 魔术师约翰逊 史蒂芬·A·史密斯 杰里·韦斯特 J·A·艾丹 德鲁·加尔利 克莱德·德雷克斯勒 朱利叶斯·欧文 保罗·加索尔 John S. Battle 菲尔·杰克逊 卡尔·马龙 拉玛·奥多姆 约翰·斯托克顿 Hannah Storm 比尔·沃尔顿 ,x,21469,23066,这部长篇记录片背标邦威记录科比的生活，灵感及遇到的挑战，也为他下一季重回NBA赛季奠定了基础。这部片子还会聚焦在科比在其职业生涯内所取得的成功及面临的挑战，让大家看到另一面的篮球明星。科比在片中也会谈到自己对于运动生涯结束后的规划，尽管没有给出详细的例子，但是Showt ime节目表示科比的“个人成长经历”也会着重被讲述。
25705675,犴达罕,2013-12-10,7543,9.2,https:\/\/movie.douban.com\/subject\/25705675\/,纪录片,中国大陆,0,0,x,x,0,0,null
5265182,姑奶奶,2010-09-04,12718,9,https:\/\/movie.douban.com\/subject\/5265182\/,"传记,纪录片,同性,音乐",中国大陆,5242,12718,樊其辉 ,邱炯炯 ,15846,30311,一袭如画的长裙，扎着一朵白色玫瑰的巨大的发套，足足二十公分的高跟鞋……碧浪达夫人眼角挂着混和了厚厚睫毛膏的黑色眼泪在灯光昏暗的酒吧里低吟浅唱，纵声高歌——从白光（四十年代的歌后）到闫秋霞（白派京韵大鼓传人），从调侃仰慕者送来的不菲小费到对台下骄傲女人的尖酸与不屑，从渴望的沉浸在回忆中的温暖歌唱到绝望的跳大神式的嬉笑怒骂……嘈杂的环境中，舞台是她的——这个小小的舞台是属于这位华丽的、庄严的、刻薄的、胆怯的、恶毒的、势利的、羞涩的、不幸的、风情万种的、母仪天下的、冥顽不灵的碧浪达夫人的！
33413473,泰国洞穴救援,2021-09-02,16290,9.1,https:\/\/movie.douban.com\/subject\/33413473\/,纪录片,美国,6040,16290,x,金国威 伊丽莎白·柴·瓦沙瑞莉 ,18569,23257,本片讲述了2018年被困在泰国洞穴中的野猪青年足球队以及他们最终被救援的戏剧性故事。凭借独家访问权限和前所未见的救援镜头，这部电影讲述了洞穴潜水员的故事，他们挑战了人类潜力的极限，并成就了一个生动人心魄的英雄们赌上生命的故事。
26961159,囚,2017-02-12,9032,9.1,https:\/\/movie.douban.com\/subject\/26961159\/,纪录片,中国大陆,4329,9032,x,马莉 ,12029,83219,中国东北某精神病院封闭疗区。
1293199,持摄影机的人,1929-01-08,16204,9.1,https:\/\/movie.douban.com\/subject\/1293199\/,纪录片,苏联,6158,16204,x,吉加·维尔托夫 ,22553,35222,本片是苏联纪录片导演，“电影眼”理论的创始人吉加•维尔托夫（Dziga Vertov）的代表作。电影主要拍摄于乌克兰的敖德萨市，摄像师是维尔托夫的哥哥米凯尔•卡夫曼（Mikhail Kaufman）。影片主要分观众入席、城市黎明、人民的工作与休息、体育运动和艺术实践几部分，通过刻画人民生活的方方面面来呈现苏维埃新社会中的一个理想城市。摄影师米凯尔•卡夫曼在拍摄的同时也出现在电影画面中，首创了“自我暴露”的电影形式。在这部具有里程碑性突破意义的纪录片中，维尔托夫首次使用了二次曝光、快进、慢动作、画面定格、跳跃剪辑、画面分割等前卫剪辑手法，并采用了仰角、特写、推拉镜头等新颖的拍摄手法，并制作了一段定格动画。
2328234,地球公民,2005-09-24,12945,9.2,https:\/\/movie.douban.com\/subject\/2328234\/,纪录片,美国,5636,12945,华金·菲尼克斯 ,肖恩·蒙森 ,16350,41645,“我们优雅的享用我们的正餐，血腥的屠宰场被精心的隐藏起来。”——爱默生。
26914034,不了神话 宫崎骏,2016-11-13,16024,9.1,https:\/\/movie.douban.com\/subject\/26914034\/,纪录片,日本,5255,16024,宫崎骏 铃木敏夫 坂本千夏 ,荒川格 ,35213,44839,A look at famous Japanese animator Hayao Miyazaki following his retirement in 2013.
